strategy_id,total_return,cagr,max_drawdown,sharpe,win_rate,quarters,filter,rank,top
"pl15_roe25_t20",1007.6,19.5,37.0,0.93,73,55,"pl_ratio > 0 AND pl_ratio < 15 AND roe > 0.25 AND avg_daily_liquidity > 1e6","pl_ratio ASC",20
"ev10_roa10",1737.0,24.1,38.0,1.12,78,55,"ev_ebit > 0 AND ev_ebit < 10 AND roa > 0.1 AND avg_daily_liquidity > 1e6","ev_ebit ASC",10
"ev10_roa10_t20",980.2,19.3,32.8,0.94,73,55,"ev_ebit > 0 AND ev_ebit < 10 AND roa > 0.1 AND avg_daily_liquidity > 1e6","ev_ebit ASC",20
"pl10_roa10",997.8,19.4,38.6,0.92,73,55,"pl_ratio > 0 AND pl_ratio < 10 AND roa > 0.1 AND avg_daily_liquidity > 1e6","pl_ratio ASC",10
"pl10_roa10_t20",769.6,17.4,36.8,0.87,71,55,"pl_ratio > 0 AND pl_ratio < 10 AND roa > 0.1 AND avg_daily_liquidity > 1e6","pl_ratio ASC",20
"ev8_roa15",1433.9,22.4,38.9,1.03,76,55,"ev_ebit > 0 AND ev_ebit < 8 AND roa > 0.15 AND avg_daily_liquidity > 1e6","ev_ebit ASC",10
"ev8_roa15_t20",1469.8,22.6,32.8,1.07,73,55,"ev_ebit > 0 AND ev_ebit < 8 AND roa > 0.15 AND avg_daily_liquidity > 1e6","ev_ebit ASC",20
"pvp15_roe10",1880.5,24.8,34.4,1.02,71,55,"pvp_ratio > 0 AND pvp_ratio < 1.5 AND roe > 0.1 AND avg_daily_liquidity > 1e6","pvp_ratio ASC",10
"pvp15_roe10_t20",1464.9,22.6,39.2,0.94,69,55,"pvp_ratio > 0 AND pvp_ratio < 1.5 AND roe > 0.1 AND avg_daily_liquidity > 1e6","pvp_ratio ASC",20
"pvp1_roe15",1167.4,20.7,41.0,0.91,73,55,"pvp_ratio > 0 AND pvp_ratio < 1 AND roe > 0.15 AND avg_daily_liquidity > 1e6","pvp_ratio ASC",10
"pvp1_roe15_t20",1615.1,23.4,35.9,1.00,67,55,"pvp_ratio > 0 AND pvp_ratio < 1 AND roe > 0.15 AND avg_daily_liquidity > 1e6","pvp_ratio ASC",20
"pvp2_roe20",1323.6,21.7,45.2,0.95,75,55,"pvp_ratio > 0 AND pvp_ratio < 2 AND roe > 0.2 AND avg_daily_liquidity > 1e6","pvp_ratio ASC",10
"pvp2_roe20_t20",1233.4,21.2,34.2,1.00,69,55,"pvp_ratio > 0 AND pvp_ratio < 2 AND roe > 0.2 AND avg_daily_liquidity > 1e6","pvp_ratio ASC",20
"pl10_lowdebt2",1441.9,22.5,27.7,1.04,71,55,"pl_ratio > 0 AND pl_ratio < 10 AND divida_liquida_ebit > 0 AND divida_liquida_ebit < 2 AND avg_daily_liquidity > 1e6","pl_ratio ASC",10
"pl10_lowdebt2_t20",1285.5,21.5,25.7,1.06,69,55,"pl_ratio > 0 AND pl_ratio < 10 AND divida_liquida_ebit > 0 AND divida_liquida_ebit < 2 AND avg_daily_liquidity > 1e6","pl_ratio ASC",20
"ev8_lowdebt2",923.8,18.8,30.6,0.94,67,55,"ev_ebit > 0 AND ev_ebit < 8 AND divida_liquida_ebit > 0 AND divida_liquida_ebit < 2 AND avg_daily_liquidity > 1e6","ev_ebit ASC",10
"ev8_lowdebt2_t20",1183.6,20.8,27.2,1.02,71,55,"ev_ebit > 0 AND ev_ebit < 8 AND divida_liquida_ebit > 0 AND divida_liquida_ebit < 2 AND avg_daily_liquidity > 1e6","ev_ebit ASC",20
"ev8_lowdebt1",909.6,18.7,37.2,0.93,69,55,"ev_ebit > 0 AND ev_ebit < 8 AND divida_liquida_ebit > 0 AND divida_liquida_ebit < 1 AND avg_daily_liquidity > 1e6","ev_ebit ASC",10
"ev8_lowdebt1_t20",1165.7,20.7,30.0,1.03,69,55,"ev_ebit > 0 AND ev_ebit < 8 AND divida_liquida_ebit > 0 AND divida_liquida_ebit < 1 AND avg_daily_liquidity > 1e6","ev_ebit ASC",20
"pl10_nodebt",1645.6,23.6,31.3,0.88,66,47,"pl_ratio > 0 AND pl_ratio < 10 AND divida_liquida_ebit < 0 AND avg_daily_liquidity > 1e6","pl_ratio ASC",10
"pl10_nodebt_t20",1645.6,23.6,31.3,0.88,66,47,"pl_ratio > 0 AND pl_ratio < 10 AND divida_liquida_ebit < 0 AND avg_daily_liquidity > 1e6","pl_ratio ASC",20
"ev10_nodebt",524.4,14.5,52.1,0.72,70,43,"ev_ebit > 0 AND ev_ebit < 10 AND divida_liquida_ebit < 0 AND avg_daily_liquidity > 1e6","ev_ebit ASC",10
"ev10_nodebt_t20",524.4,14.5,52.1,0.72,70,43,"ev_ebit > 0 AND ev_ebit < 10 AND divida_liquida_ebit < 0 AND avg_daily_liquidity > 1e6","ev_ebit ASC",20
"pl8_nodebt_roe10",1243.1,21.2,31.3,0.83,64,47,"pl_ratio > 0 AND pl_ratio < 8 AND divida_liquida_ebit < 0 AND roe > 0.1 AND avg_daily_liquidity > 1e6","pl_ratio ASC",10
"pl8_nodebt_roe10_t20",1243.1,21.2,31.3,0.83,64,47,"pl_ratio > 0 AND pl_ratio < 8 AND divida_liquida_ebit < 0 AND roe > 0.1 AND avg_daily_liquidity > 1e6","pl_ratio ASC",20
"pl10_liq15",1391.4,22.2,36.9,0.95,67,55,"pl_ratio > 0 AND pl_ratio < 10 AND liquidez_corrente > 1.5 AND avg_daily_liquidity > 1e6","pl_ratio ASC",10
"pl10_liq15_t20",1303.1,21.6,38.7,0.92,64,55,"pl_ratio > 0 AND pl_ratio < 10 AND liquidez_corrente > 1.5 AND avg_daily_liquidity > 1e6","pl_ratio ASC",20
"pl10_liq2",1151.4,20.6,38.0,0.86,60,55,"pl_ratio > 0 AND pl_ratio < 10 AND liquidez_corrente > 2 AND avg_daily_liquidity > 1e6","pl_ratio ASC",10
