strategy_id,category,total_return,cagr,max_drawdown,sharpe,win_rate,alpha_rate,quarters,filter,rank,top
"ev_lt2_t20","1.value_ev",3746.85,30.40,22.53,1.494,76.4,67.3,55,"ev_ebit > 0 AND ev_ebit < 2 AND avg_daily_liquidity > 1e6","ev_ebit ASC",20
"ev_lt2_t30","1.value_ev",3082.01,28.61,22.53,1.445,78.2,65.5,55,"ev_ebit > 0 AND ev_ebit < 2 AND avg_daily_liquidity > 1e6","ev_ebit ASC",30
"ev_lt2.5_t5","1.value_ev",3449.75,29.64,22.30,1.197,67.3,58.2,55,"ev_ebit > 0 AND ev_ebit < 2.5 AND avg_daily_liquidity > 1e6","ev_ebit ASC",5
"ev_lt2.5_t10","1.value_ev",2752.73,27.59,25.64,1.380,70.9,65.5,55,"ev_ebit > 0 AND ev_ebit < 2.5 AND avg_daily_liquidity > 1e6","ev_ebit ASC",10
"ev_lt2.5_t15","1.value_ev",2684.77,27.37,24.84,1.322,78.2,65.5,55,"ev_ebit > 0 AND ev_ebit < 2.5 AND avg_daily_liquidity > 1e6","ev_ebit ASC",15
"ev_lt2.5_t20","1.value_ev",3311.63,29.26,27.03,1.395,76.4,69.1,55,"ev_ebit > 0 AND ev_ebit < 2.5 AND avg_daily_liquidity > 1e6","ev_ebit ASC",20
"ev_lt2.5_t30","1.value_ev",2259.60,25.84,26.28,1.278,72.7,67.3,55,"ev_ebit > 0 AND ev_ebit < 2.5 AND avg_daily_liquidity > 1e6","ev_ebit ASC",30
"ev_lt3_t5","1.value_ev",1305.07,21.19,22.30,1.002,63.6,58.2,55,"ev_ebit > 0 AND ev_ebit < 3 AND avg_daily_liquidity > 1e6","ev_ebit ASC",5
"ev_lt3_t10","1.value_ev",3386.96,29.47,25.64,1.380,74.5,63.6,55,"ev_ebit > 0 AND ev_ebit < 3 AND avg_daily_liquidity > 1e6","ev_ebit ASC",10
"ev_lt3_t15","1.value_ev",2522.41,26.81,24.84,1.299,78.2,63.6,55,"ev_ebit > 0 AND ev_ebit < 3 AND avg_daily_liquidity > 1e6","ev_ebit ASC",15
"ev_lt3_t20","1.value_ev",3206.02,28.97,27.03,1.430,78.2,67.3,55,"ev_ebit > 0 AND ev_ebit < 3 AND avg_daily_liquidity > 1e6","ev_ebit ASC",20
"ev_lt3_t30","1.value_ev",2314.74,26.05,27.07,1.271,72.7,70.9,55,"ev_ebit > 0 AND ev_ebit < 3 AND avg_daily_liquidity > 1e6","ev_ebit ASC",30
"ev_lt4_t5","1.value_ev",846.95,17.76,29.95,0.880,69.1,54.5,55,"ev_ebit > 0 AND ev_ebit < 4 AND avg_daily_liquidity > 1e6","ev_ebit ASC",5
